uniqueID,drugName,condition,review,rating,date,usefulCount,label
195992,Dexbrompheniramine / pseudoephedrine,Allergic Rhinitis,"""This is the only allergy medicine that has ever worked for me.  I&#039;ve been using it since it was a prescription only capsule and I&#039;m honestly suffering without it.  Why they took it off the market is beyond reason?""",10,26-Jun-08,18,1
42509,Concerta,ADHD,"""This is not the drug for everyone. I was absolutely miserable on Concerta. I was restless, anxious, needy, fidgety, irritable, and depressed. My psychiatric practitioner attempted to cure these symptoms by prescribing higher doses. I eventually had a meltdown. As soon as I stopped, it was like I was instantly better. I know this drug works wonders for some people, but please be careful.""",1,5-Jan-16,44,0
148717,Mirena,Birth Control,"""First off, remember this is a long term birth control so you have to give your body time to adjust effectively. This device stays in for years! The insertion process was painful for me being I&#039;ve never had kids so the dr. manually opening my cervix to insert the iud was the worst part. Following the procedure, a friend took me home because of the cramping it caused but after a couple hours I felt okay to drive. There was spotting for a month and slowed down to the point I now spot maybee 2 days a month. I&#039;ve now had it for 5 months and get cramps from time to time but they arent bad ones. I think my body is still adjusting some. I would overall suggest it to those who are preventing pregnancy more than preventing periods and cramps.""",9,6-Sep-16,10,1
115997,Divalproex sodium,Migraine Prevention,"""Worked well for migraines but had to stop due to double vision, dizziness and 16 pound weight gain in three weeks.""",8,2-Oct-12,29,1
20464,Vimpat,Seizures,"""I have been taking vimpat with topimax for over 6 months and it&#039;s terrible. It makes me nauseas, I feel high after taking it, i have double vision, and it hasn&#039;t even touched my seizures. It&#039;s been causing severe depression as well. My doctor just keeps increasing the topimax.""",1,9-Aug-16,14,0
205482,Pristiq,Depression,"""I have been on many different antidepressants from the age of 15 till now (22). I have tried Wellbutrin which was decent, Zoloft, Lexapro, Effexor etc. Now I am on Pristiq 100 mg and couldn&#039;t be happier. All the years I&#039;ve been trying to find what works for me, I finally have. My only complaint is that if I even forget to take it one night, within 10 hours I feel awful! Shaky, sweaty, brain zaps, rage etc. As long as I remember to take it, it&#039;s an amazing antidepressant.""",9,11-Jun-13,85,1
25689,Ethinyl estradiol / norelgestromin,Birth Control,"""This patch works great. One tip when using it is make sure you constantly have food in your stomach. In the morning on an empty stomach it can make you feel sick. """,8,25-Nov-14,48,1
91889,Lyrica,ibromyalgia,"""I was on Lyrica for a year. Then my insurance decided hey we aren&#039;t paying for this anymore and I had to stop. And it was a just stop completely not a wean off of it. Started on. Gabapentin 800 3x a day. Has done Nothing for me. I am miserable.  If you need help paying for it go to there website and they will actually pay for the medication for you. For a year then you just reapply. I will be getting mine back finally this week. And I can&#039;t wait to get back on it so I can actually be a mom and a wife again. Without laying in bed all day suffering.""",9,4-Apr-16,69,1
191123,Campral,Alcohol Dependence,"""It works.""",9,17-Dec-08,29,1
2534,Camrese,Birth Control,"""I have been taking this pill for almost two weeks and it has increased my libido times 100 and I am feeling normal again... Not as many mood swings as before and no depression. I have increase G-spot sensation and feel amazing ... It will be nice to have my period only 4 times a year. I would recommend this to patients who have had difficulties with frequent UTIs and yeast infections due to the pill. I would never go back to Junel after this.""",10,24-Feb-15,3,1
109435,Nexplanon,Birth Control,"""After years of taking the pill and going through rigorous mood swings and having to remember to take the pill, I wanted a better option. I did not want to take the shot every few months or have in implant in my uterus, I read for awhile on the nexplanon implant and the reviews were a bit here and there. After speaking with my obgyn about it, I made the decision to use this method. The implant appointment was painless and my doctor has never had an issue with the insertion moving from the location. My moods are much better, I do not have to take a pill or even set a reminder anymore. I have had it a few weeks and my period has gone away completely. This so far has been one of the best decisions I am happy to have made.""",10,21-Dec-16,4,1
214997,Fluoxetine / olanzapine,Bipolar Disorde,"""I have been taking Symbyax for 3 weeks. I cannot believe the difference its made in my life. I was always against anti-depressants since all I had tried made me feel worse. I haven&#039;t had energy or motivation like this in, I cant remember how long! It is hard to wake up if I take it too late in the evening. I&#039;m afraid of the weight gain but I think it would be worth it. I am only giving it a 9 since it is so expensive and I have no insurance.""",9,23-Nov-10,27,1
89429,Celexa,Anxiety and Stress,"""I have been taking Celexa for 5 years and it is the best thing ever. I lost my business and marriage to anxiety and anger issues. For 2 years after I blamed everyone but myself, then started Celexa and have been a much better and much more successful person. I have noticed two side effects my appetite changes causing my weight to vary in the 5 to 10 pound range and sex has never been better. I do not crave it as much but when I do it much better. It lasts longer and has a bigger effect.""",10,4-Oct-13,102,1
